course,skills,rating,level,certificatetype,duration,prerequisites,skill_level_required
Finance for Non-Finance Professionals,"{"" Accounting"","" Business Analysis"","" Data Analysis"","" Finance"","" Financial Analysis"","" Financial Management"","" Financial Accounting"","" Investment Management"","" Budget Management""}",4.8,Beginner,Course,1 - 3 Months,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
From Excel to Power BI,"{"" Data Analysis"","" Data Model"","" Microsoft Excel"","" Power BI""}",4.4,Beginner,Course,1 - 4 Weeks,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
"Cybersecurity Roles, Processes & Operating System Security","{"" Cloud Computing"","" Linux"","" Operating Systems"","" System Security""}",4.6,Beginner,Course,1 - 3 Months,Basic Networking Concepts|TCP/IP Fundamentals|Operating Systems,beginner
Weight Management: Beyond Balancing Calories,"{"" Leadership and Management""}",4.7,Beginner,Course,1 - 3 Months,Basic Organizational Principles|Communication Skills|Time Management,beginner
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital","{"" Finance"","" Mergers & Acquisitions"","" Business Analysis"","" Data Analysis"","" Financial Analysis"","" Investment Management"","" Accounting"","" Entrepreneurship"","" Marketing"","" Strategy"","" Strategy and Operations"","" Game Theory""}",4.6,Advanced,Course,1 - 3 Months,Relational Database Concepts|Basic SQL Queries|Data Types,advanced
Google Advanced Data Analytics,"{"" Communication"","" Computer Programming"","" Data Analysis"","" Exploratory Data Analysis"","" General Statistics"","" Machine Learning"","" Planning"","" Probability Distribution"","" Project Management"","" Python Programming"","" Regression"","" Statistical Analysis"","" Tableau Software""}",4.7,Advanced,Professional Certificate,3 - 6 Months,Basic Python Syntax|Introductory Statistics|NumPy Basics,advanced
Mergers and Acquisitions,"{"" Mergers & Acquisitions"","" Finance"","" Accounting"","" Financial Analysis"","" Financial Accounting"","" Banking"","" Business Analysis"","" Investment Management"","" Financial Management"","" Data Analysis"","" Market Analysis"","" Corporate Accouting"","" Taxes""}",4.6,Intermediate,Specialization,3 - 6 Months,Relational Database Concepts|Basic SQL Queries|Data Types,intermediate
Build Dynamic User Interfaces (UI) for Websites,"{"" User Experience"","" User Research"","" Web Design"","" Web Development Tools""}",4.8,Beginner,Course,1 - 3 Months,Visual Design Fundamentals|Color Theory Basics|Basic Creativity Skills,beginner
"Everyday Excel, Part 1","{"" Business Analysis"","" Data Analysis"","" Data Analysis Software"","" Microsoft Excel"","" Spreadsheet Software"","" Critical Thinking"","" Problem Solving"","" Data Management"","" Mathematics"","" Data Visualization""}",4.7,Beginner,Course,1 - 3 Months,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
Google Marketing Digital e E-Commerce,"{"" E-Commerce"","" Marketing"","" Search Engine Optimization"","" Strategy""}",4.9,Beginner,Professional Certificate,3 - 6 Months,Digital Communication Basics|Consumer Behavior|Content Creation,beginner
Auditing I: Conceptual Foundations of Auditing,"{"" Accounting"","" Audit"","" Critical Thinking"","" Financial Analysis"","" Regulations and Compliance"","" Risk Management"","" Financial Accounting"","" General Accounting"","" Leadership and Management"","" Finance""}",4.7,Intermediate,Course,1 - 3 Months,Basic Arithmetic|Excel Fundamentals|Introductory Financial Concepts,intermediate
Management of Fashion and Luxury Companies,"{"" Brand Management"","" Leadership and Management"","" Marketing"","" Retail Sales"","" Strategy"","" Business Analysis"","" Communication"","" Customer Analysis"","" Media Strategy & Planning"","" Product Design"","" Product Development""}",4.7,Mixed,Course,1 - 3 Months,Digital Communication Basics|Consumer Behavior|Content Creation,beginner
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning","{"" Machine Learning"","" Tensorflow"","" Artificial Neural Networks"","" Computer Programming"","" Machine Learning Algorithms"","" Deep Learning"","" Machine Learning Software"","" Applied Machine Learning"","" Human Learning"","" Algorithms"","" Computer Vision""}",4.8,Intermediate,Course,1 - 4 Weeks,Linear Algebra|Python Programming|Calculus Fundamentals,intermediate
Introduction to Spreadsheets and Models,"{"" Data Analysis"","" Forecasting"","" General Statistics"","" Microsoft Excel"","" Spreadsheet Software"","" Statistical Analysis"","" Basic Descriptive Statistics"","" Business Analysis"","" Statistical Tests"","" Correlation And Dependence"","" Computer Programming""}",4.2,Mixed,Course,1 - 4 Weeks,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
The Bits and Bytes of Computer Networking,"{"" Computer Networking"","" Network Architecture"","" Network Model"","" Networking Hardware"","" Network Analysis"","" Critical Thinking"","" Problem Solving"","" Computer Architecture"","" Human Computer Interaction"","" Network Security"","" Cloud Computing""}",4.7,Beginner,Course,1 - 3 Months,Basic Networking Concepts|TCP/IP Fundamentals|Operating Systems,beginner
Gestion de projet de Google,"{"" Business Analysis"","" Business Development"","" Communication"","" Decision Making"","" Design and Product"","" Entrepreneurship"","" Leadership and Management"","" Planning"","" Strategy"","" Strategy and Operations"","" Data Analysis"","" Business Psychology"","" Conflict Management"","" Emotional Intelligence"","" People Management"","" Resilience"","" C++ Programming"","" Compensation"","" HR Tech"","" Network Security"","" Business Design"","" Employee Relations"","" Scrum (Software Development)""}",4.5,Beginner,Professional Certificate,3 - 6 Months,Basic Networking Concepts|TCP/IP Fundamentals|Operating Systems,beginner
From Data to Insights with Google Cloud,"{"" Google Cloud Platform"","" Cloud Computing"","" SQL"","" Databases"","" Data Analysis"","" Big Data"","" Cloud Platforms"","" Data Management"","" Exploratory Data Analysis"","" Cloud Storage"","" Data Analysis Software"","" Machine Learning"","" Applied Machine Learning"","" Human Learning"","" Data Visualization"","" Machine Learning Algorithms"","" Machine Learning Software"","" Database Theory""}",4.6,Beginner,Specialization,3 - 6 Months,Linear Algebra|Python Programming|Calculus Fundamentals,beginner
Excel Skills for Business: Essentials,"{"" Microsoft Excel"","" Spreadsheet Software"","" Data Visualization"","" Plot (Graphics)"","" Data Analysis"","" Leadership and Management""}",4.9,Beginner,Course,1 - 3 Months,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
Introduction to Project Management,"{"" Leadership and Management"","" Project Management""}",4.8,Beginner,Course,1 - 3 Months,Basic Organizational Principles|Communication Skills|Time Management,beginner
Google Cloud Digital Leader Training,"{"" Cloud Computing"","" Cloud Infrastructure"","" Google Cloud Platform"","" Cloud Management"","" Cloud Platforms"","" Cloud Applications"","" Cloud-Based Integration"","" Cloud Clients"","" Kubernetes"","" Other Cloud Platforms and Tools"","" Data Management"","" DevOps"","" Software Engineering Tools"","" System Security"","" Data Architecture"","" Google App Engine"","" Account Management"","" Collaboration"","" Innovation"","" Leadership and Management"","" Operations Management"","" Data Warehousing"","" Machine Learning""}",4.8,Beginner,Professional Certificate,3 - 6 Months,Linear Algebra|Python Programming|Calculus Fundamentals,beginner
Arizona State University TESOL,"{"" Human Learning"","" Strategy"","" Planning"","" Writing"","" Mergers & Acquisitions""}",4.9,Beginner,Professional Certificate,3 - 6 Months,Analytical Thinking|Problem Solving Basics|General Industry Knowledge,beginner
Meta iOS Developer,"{"" Mobile Development"","" Swift Programming"","" iOS Development"","" Computer Programming"","" Mobile Development Tools"","" React (web framework)"","" Application Development"","" Software Engineering"","" Data Structures"","" User Experience"","" User Experience Design"","" Web Development"","" Computer Programming Tools"","" Software Engineering Tools"","" Front-End Web Development"","" Algorithms"","" Computer Science"","" Interactive Design"","" Javascript"","" Collaboration"","" Communication"","" Data Management"","" Django (Web Framework)"","" Human Computer Interaction"","" Linux"","" Problem Solving"","" Product Design"","" Software Architecture"","" Web Design""}",4.7,Beginner,Professional Certificate,3 - 6 Months,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,"{"" Leadership and Management"","" Organizational Development"","" Strategy"","" Strategy and Operations"","" Business Transformation"","" Critical Thinking"","" Business Process Management"","" Change Management"","" Employee Relations"","" Innovation""}",4.6,Mixed,Course,1 - 3 Months,Basic Organizational Principles|Communication Skills|Time Management,beginner
IBM Data Analyst,"{"" Python Programming"","" Data Visualization"","" Microsoft Excel"","" Spreadsheet Software"","" Data Analysis"","" Statistical Visualization"","" Plot (Graphics)"","" Statistical Programming"","" Databases"","" SQL"","" Data Management"","" Exploratory Data Analysis"","" Machine Learning"","" Business Analysis"","" Computational Thinking"","" Computer Programming"","" Database Application"","" Database Design"","" Database Theory"","" Data Mining"","" Data Science"","" General Statistics"","" NoSQL"","" R Programming"","" Cloud Computing"","" Data Visualization Software"","" IBM Cloud"","" Interactive Data Visualization"","" Machine Learning Algorithms"","" Probability & Statistics"","" Regression""}",4.6,Beginner,Professional Certificate,3 - 6 Months,Basic Python Syntax|Introductory Statistics|NumPy Basics,beginner
Learning for a Sustainable Future,"{"" Critical Thinking""}",4.7,Beginner,Course,1 - 3 Months,Analytical Thinking|Problem Solving Basics|General Industry Knowledge,beginner
IBM Applied AI,"{"" Machine Learning"","" Deep Learning"","" Machine Learning Algorithms"","" Artificial Neural Networks"","" Python Programming"","" Cloud Computing"","" Computer Vision"","" Human Learning"","" IBM Cloud"","" Applied Machine Learning"","" Algorithms"","" Cloud API"","" Machine Learning Software"","" Natural Language Processing"","" Human Computer Interaction"","" Computer Programming"","" Cloud Applications"","" Computer Programming Tools"","" Application Development"","" Visualization (Computer Graphics)"","" Data Analysis"","" Software As A Service"","" User Experience Design"","" Data Science""}",4.6,Beginner,Professional Certificate,3 - 6 Months,Basic Python Syntax|Introductory Statistics|NumPy Basics,beginner
Python Data Structures,"{"" Algorithms"","" Computational Logic"","" Computer Programming"","" Computer Programming Tools"","" Critical Thinking"","" Data Management"","" Data Structures"","" Problem Solving"","" Python Programming"","" Software Engineering""}",4.9,Beginner,Course,1 - 3 Months,Basic Python Syntax|Introductory Statistics|NumPy Basics,beginner
Financial Reporting,"{"" Accounting"","" Financial Accounting"","" General Accounting"","" Generally Accepted Accounting Principles (GAAP)"","" Financial Analysis"","" Finance"","" Accounts Payable and Receivable"","" Financial Management"","" Management Accounting"","" Cost Accounting"","" Leadership and Management"","" Account Management"","" Corporate Accouting""}",4.7,Intermediate,Specialization,3 - 6 Months,Basic Arithmetic|Excel Fundamentals|Introductory Financial Concepts,intermediate
Introduction to Financial Accounting,"{"" Accounting"","" Accounts Payable and Receivable"","" Finance"","" Financial Accounting"","" General Accounting"","" Generally Accepted Accounting Principles (GAAP)"","" Account Management"","" Cash Management"","" Cost Accounting"","" Financial Analysis""}",4.7,Mixed,Course,1 - 4 Weeks,Basic Arithmetic|Excel Fundamentals|Introductory Financial Concepts,beginner
Cryptography I,"{"" Algorithms"","" Cryptography"","" Mathematics"","" Security Engineering"","" Theoretical Computer Science"","" Probability & Statistics"","" Critical Thinking"","" Mathematical Theory & Analysis"","" Computer Security Models"","" Probability Distribution""}",4.8,Mixed,Course,1 - 3 Months,Basic Networking Concepts|TCP/IP Fundamentals|Operating Systems,beginner
Developing Front-End Apps with React,"{"" Javascript"","" React (web framework)"","" Web Development""}",4.3,Intermediate,Course,1 - 4 Weeks,Analytical Thinking|Problem Solving Basics|General Industry Knowledge,intermediate
Blockchain,"{"" BlockChain"","" Cryptography"","" Finance"","" Algorithms"","" Problem Solving"","" Application Development"","" Computer Programming"","" Contract Management"","" Data Structures"","" Security Engineering"","" Critical Thinking"","" Programming Principles"","" Payments"","" Research and Design"","" Software Engineering Tools"","" System Security"","" Theoretical Computer Science"","" Other Programming Languages"","" Security Strategy""}",4.6,Intermediate,Specialization,3 - 6 Months,Basic Networking Concepts|TCP/IP Fundamentals|Operating Systems,intermediate
Foundations of Positive Psychology,"{"" Resilience""}",4.8,Beginner,Specialization,3 - 6 Months,Analytical Thinking|Problem Solving Basics|General Industry Knowledge,beginner
Financial Accounting Fundamentals,"{"" Account Management"","" Accounting"","" Accounts Payable and Receivable"","" Finance"","" Financial Accounting"","" Financial Analysis"","" General Accounting"","" Generally Accepted Accounting Principles (GAAP)"","" Financial Management"","" Payments""}",4.8,Beginner,Course,1 - 3 Months,Basic Arithmetic|Excel Fundamentals|Introductory Financial Concepts,beginner
Career Success,"{"" Leadership and Management"","" Professional Development"","" Strategy and Operations"","" Business Communication"","" Adaptability"","" Business Analysis"","" Communication"","" Decision Making"","" Project Management"","" People Management"","" Critical Thinking"","" Collaboration"","" Customer Relationship Management"","" Strategy"","" Planning"","" Business Development"","" Problem Solving"","" Accounting"","" Change Management"","" Conflict Management"","" Financial Accounting"","" Leadership Development"","" Entrepreneurship"","" People Development"","" Business Research"","" Cost Accounting"","" Deep Learning"","" Finance"","" Financial Management"","" General Accounting"","" Generally Accepted Accounting Principles (GAAP)"","" Negotiation"","" Financial Analysis"","" Writing"","" Benefits"","" Contract Management"","" Entrepreneurial Finance"","" Data Visualization Software"","" Marketing"","" Scrum (Software Development)"","" User Experience"","" Estimation""}",4.6,Beginner,Specialization,3 - 6 Months,Linear Algebra|Python Programming|Calculus Fundamentals,beginner
Robotic Process Automation (RPA),"{"" Computer Programming"","" User Experience Design""}",4.7,Beginner,Specialization,3 - 6 Months,Visual Design Fundamentals|Color Theory Basics|Basic Creativity Skills,beginner
Natural Language Processing with Classification and Vector Spaces,"{"" Machine Learning"","" Natural Language Processing"","" Probability & Statistics"","" Python Programming"","" Machine Learning Algorithms"","" Applied Machine Learning"","" Computer Programming"","" Human Learning"","" Mathematics"","" Statistical Machine Learning""}",4.6,Intermediate,Course,1 - 4 Weeks,Basic Python Syntax|Introductory Statistics|NumPy Basics,intermediate
Financial Acumen for Non-Financial Managers,"{"" Finance"","" Financial Analysis"","" Financial Management"","" Accounting"","" Accounts Payable and Receivable"","" Business Analysis"","" Financial Accounting"","" General Accounting"","" Management Accounting"","" Generally Accepted Accounting Principles (GAAP)""}",4.5,Beginner,Course,1 - 4 Weeks,Basic Arithmetic|Excel Fundamentals|Introductory Financial Concepts,beginner
DataOps Methodology,"{"" Data Management"","" Leadership and Management"","" Data Analysis"","" Data Architecture"","" Data Model""}",4.7,Beginner,Course,1 - 3 Months,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
Introduction to Data Science in Python,"{"" Computer Programming"","" Data Analysis"","" Data Management"","" Python Programming"","" Statistical Programming"","" Data Mining"","" Extract"","" Transform"","" Load"","" Computer Programming Tools"","" Critical Thinking"","" Exploratory Data Analysis"","" General Statistics""}",4.5,Intermediate,Course,1 - 4 Weeks,Basic Python Syntax|Introductory Statistics|NumPy Basics,intermediate
Fractal Data Science,"{"" Communication"","" Critical Thinking"","" Data Analysis"","" Data Model"","" Exploratory Data Analysis"","" Feature Engineering"","" Power BI"","" Problem Solving"","" SQL"","" Storytelling""}",3.9,Beginner,Professional Certificate,3 - 6 Months,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
Fundamentals of Technology Sales,"{"" Communication"","" Problem Solving"","" Sales"","" Business Communication"","" Decision Making"","" Sales Systems"","" Negotiation""}",4.6,Beginner,Course,1 - 3 Months,Analytical Thinking|Problem Solving Basics|General Industry Knowledge,beginner
"FinTech: Foundations, Payments, and Regulations","{"" FinTech"","" Finance"","" Behavioral Economics"","" BlockChain"","" Financial Analysis"","" Financial Management"","" Market Research"","" Payments"","" Risk Management"","" Cash Management""}",4.6,Beginner,Course,1 - 4 Weeks,Basic Arithmetic|Excel Fundamentals|Introductory Financial Concepts,beginner
Convolutional Neural Networks in TensorFlow,"{"" Machine Learning"","" Deep Learning"","" Machine Learning Algorithms"","" Applied Machine Learning"","" Artificial Neural Networks"","" Computer Vision"","" Human Learning"","" Tensorflow"","" Python Programming"","" Machine Learning Software""}",4.7,Intermediate,Course,1 - 4 Weeks,Basic Python Syntax|Introductory Statistics|NumPy Basics,intermediate
Conflict Management,"{"" Collaboration"","" Communication"","" Conflict Management"","" Leadership and Management""}",4.4,Beginner,Specialization,3 - 6 Months,Basic Organizational Principles|Communication Skills|Time Management,beginner
"Ethics, Technology and Engineering","{"" Problem Solving""}",4.7,Beginner,Course,1 - 3 Months,Programming Fundamentals|Version Control|Algorithms,beginner
Key Technologies for Business,"{"" Algorithms"","" Applied Machine Learning"","" Artificial Neural Networks"","" Computer Vision"","" Deep Learning"","" Human Learning"","" Machine Learning"","" Machine Learning Algorithms"","" Machine Learning Software"","" Cloud Computing"","" Data Science"","" Data Analysis"","" Big Data"","" Data Mining"","" Cloud Applications"","" Cloud Infrastructure"","" Cloud Platforms"","" Cloud Storage"","" DevOps"","" IBM Cloud"","" Regression"","" Writing""}",4.7,Beginner,Specialization,1 - 3 Months,Linear Algebra|Python Programming|Calculus Fundamentals,beginner
Essentials in Clinical Simulations Across the Health Professions,"{"" Training""}",4.8,Intermediate,Course,1 - 3 Months,Basic Anatomy|Introductory Biology|Scientific Method,intermediate
Coaching Skills for Managers,"{"" Leadership and Management"","" Human Resources"","" Communication"","" Employee Relations"","" People Management"","" Leadership Development"","" People Development"","" Performance Management"","" Professional Development"","" Organizational Development"","" Talent Management"","" Business Psychology"","" Emotional Intelligence"","" Problem Solving"","" Training"","" People Analysis"","" Entrepreneurship"","" Strategy and Operations"","" Strategy""}",4.8,Intermediate,Specialization,3 - 6 Months,Basic Organizational Principles|Communication Skills|Time Management,intermediate
Build Basic Generative Adversarial Networks (GANs),"{"" Artificial Neural Networks"","" Machine Learning"","" Machine Learning Algorithms"","" Machine Learning Software"","" Python Programming"","" Statistical Programming"","" Deep Learning""}",4.7,Intermediate,Course,1 - 4 Weeks,Basic Python Syntax|Introductory Statistics|NumPy Basics,intermediate
Introduction to Web Development,"{"" Computer Programming"","" Front-End Web Development"","" HTML and CSS"","" Javascript"","" Web Design"","" Web Development"","" Web Development Tools"","" Problem Solving"","" User Experience Design"","" Java Programming""}",4.7,Beginner,Course,1 - 3 Months,Linear Algebra|Python Programming|Calculus Fundamentals,beginner
Salesforce Sales Operations,"{"" Sales"","" Salesforce"","" Customer Relationship Management"","" Sales Systems"","" Account Management"","" Leadership and Management"","" Strategy and Operations"","" Business Process Management"","" Customer Success"","" Marketing"","" Operations Management"","" Strategy"","" B2B Sales"","" Data Visualization Software"","" Databases"","" Business Analysis"","" Data Visualization""}",4.6,Beginner,Professional Certificate,3 - 6 Months,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
Gender Analytics: Gender Equity through Inclusive Design,"{"" Research and Design"","" Critical Thinking"","" Organizational Development"","" People Analysis"","" Business Analysis"","" Decision Making"","" Data Analysis"","" Emotional Intelligence"","" Leadership and Management"","" People Development"","" Strategy and Operations"","" Business Psychology"","" Communication"","" Data Management"","" Human Resources"","" Leadership Development"","" Problem Solving"","" Strategy"","" User Experience Design"","" Change Management"","" General Statistics"","" Human Computer Interaction"","" Innovation"","" Probability & Statistics"","" Statistical Analysis"","" User Experience"","" Creativity"","" Market Research""}",4.8,Beginner,Specialization,3 - 6 Months,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
Google Digital Marketing & E-commerce,"{"" Digital Marketing"","" Marketing"","" Marketing Management"","" Media Strategy & Planning"","" Sales"","" E-Commerce"","" Data Analysis"","" Social Media"","" Search Engine Optimization"","" Advertising"","" Communication"","" Persona Research"","" Strategy"","" Web Design"","" Web Development"","" Web Development Tools"","" Writing"","" Data Management"","" Market Analysis""}",4.8,Beginner,Professional Certificate,3 - 6 Months,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
Foundations of Project Management,"{"" Project Management"","" Strategy and Operations"","" Business Communication"","" Change Management"","" Organizational Development"","" Communication"","" Culture"","" Emotional Intelligence"","" Influencing"","" Leadership and Management"","" People Management"","" Planning""}",4.9,Beginner,Course,1 - 4 Weeks,Basic Organizational Principles|Communication Skills|Time Management,beginner
Fundamentals of GIS,"{"" ArcGIS"","" Data Visualization"","" GIS Software"","" Data Visualization Software"","" Databases"","" Geovisualization"","" Interactive Data Visualization""}",4.8,Beginner,Course,1 - 4 Weeks,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
Java Programming and Software Engineering Fundamentals,"{"" Computer Programming"","" Java Programming"","" Programming Principles"","" Algorithms"","" Problem Solving"","" Data Structures"","" Software Engineering"","" Computer Programming Tools"","" Critical Thinking"","" Computational Thinking"","" Data Analysis"","" Javascript"","" Software Testing"","" Front-End Web Development"","" HTML and CSS"","" Web Design"","" Web Development"","" Web Development Tools"","" Computer Graphic Techniques"","" Software Architecture"","" Data Model"","" Cryptography"","" Data Analysis Software"","" Statistical Programming"","" Strategy""}",4.6,Beginner,Specialization,3 - 6 Months,Linear Algebra|Python Programming|Calculus Fundamentals,beginner
"Start the UX Design Process: Empathize, Define, and Ideate","{"" Audit"","" Collaboration"","" Human Computer Interaction"","" User Experience"","" User Experience Design"","" User Research""}",4.8,Beginner,Course,1 - 4 Weeks,Visual Design Fundamentals|Color Theory Basics|Basic Creativity Skills,beginner
Relationship Management and Business Development,"{"" Business Development"","" Customer Relationship Management"","" Leadership and Management""}",4.6,Intermediate,Course,1 - 4 Weeks,Basic Organizational Principles|Communication Skills|Time Management,intermediate
Certificado en Introducción a la Ciencia de Datos,"{"" Leadership and Management"","" Strategy"","" Finance"","" Financial Analysis"","" General Statistics"","" Machine Learning"","" Python Programming""}",,,Mastertrack,4 meses,Basic Python Syntax|Introductory Statistics|NumPy Basics,beginner
Private Equity and Venture Capital,"{"" Business Analysis"","" Entrepreneurial Finance"","" Finance"","" Financial Management"","" Investment Management"","" Mergers & Acquisitions"","" Entrepreneurship"","" Decision Making"","" Financial Analysis"","" Strategy""}",4.8,Mixed,Course,1 - 3 Months,Basic Arithmetic|Excel Fundamentals|Introductory Financial Concepts,beginner
Machine Learning Modeling Pipelines in Production,"{"" Cloud Computing"","" Google Cloud Platform"","" Machine Learning""}",4.3,Advanced,Course,1 - 3 Months,Linear Algebra|Python Programming|Calculus Fundamentals,advanced
Global Challenges in Business Graduate Certificate,"{"" Accounting"","" Finance"","" General Statistics"","" Management Accounting"","" Statistical Analysis""}",,,Graduate Certificate,6 - 12 Months,Basic Arithmetic|Excel Fundamentals|Introductory Financial Concepts,beginner
Google Data Analytics (DE),"{"" Design and Product"","" Data Analysis"","" Software Engineering"","" Microsoft Excel"","" Business Analysis"","" Computer Programming"","" SQL""}",4.4,Beginner,Professional Certificate,3 - 6 Months,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
Play It Safe: Manage Security Risks,"{"" Audit"","" Leadership and Management"","" Risk Management""}",4.8,Beginner,Course,1 - 4 Weeks,Basic Networking Concepts|TCP/IP Fundamentals|Operating Systems,beginner
Kotlin for Java Developers,"{"" Computer Programming"","" Programming Principles"","" Algorithms"","" Data Structures"","" Problem Solving"","" Computational Logic"","" Mathematics"","" Software Engineering""}",4.7,Intermediate,Course,1 - 3 Months,Relational Database Concepts|Basic SQL Queries|Data Types,intermediate
Culture-Driven Team Building,"{"" Leadership and Management"","" Collaboration"","" Communication"","" Business Psychology"","" Emotional Intelligence"","" Entrepreneurship"","" Culture"","" People Management"","" Strategy and Operations"","" Professional Development"","" Conflict Management"","" Organizational Development"","" Human Learning""}",4.6,Beginner,Specialization,3 - 6 Months,Basic Organizational Principles|Communication Skills|Time Management,beginner
"GIS, Mapping, and Spatial Analysis","{"" ArcGIS"","" Data Analysis"","" Data Visualization"","" Geovisualization"","" Spatial Analysis"","" Spatial Data Analysis"","" GIS Software"","" Data Analysis Software"","" Data Visualization Software"","" Data Model"","" Data Management"","" Databases"","" Statistical Analysis"","" Mergers & Acquisitions""}",4.9,Beginner,Specialization,3 - 6 Months,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
Introduction to High-Performance and Parallel Computing,"{"" Computer Programming"","" Distributed Computing Architecture"","" Computational Thinking"","" Computer Architecture"","" Computer Programming Tools"","" Linux""}",3.2,Beginner,Course,1 - 4 Weeks,Analytical Thinking|Problem Solving Basics|General Industry Knowledge,beginner
Agile Leadership,"{"" Leadership and Management"","" Business Psychology"","" Entrepreneurship"","" Communication"","" Strategy and Operations"","" Leadership Development"","" Change Management"","" Organizational Development"","" Project Management"","" Adaptability"","" Collaboration"","" Emotional Intelligence"","" Human Resources"","" Resilience"","" Business Transformation"","" Strategy"","" Business Communication"","" Professional Development"","" Scrum (Software Development)""}",4.8,Beginner,Specialization,3 - 6 Months,Programming Fundamentals|Version Control|Algorithms,beginner
Mathematics for Machine Learning,"{"" Algebra"","" Linear Algebra"","" Mathematics"","" Machine Learning"","" Mathematical Theory & Analysis"","" Computer Programming"","" Python Programming"","" Machine Learning Algorithms"","" Calculus"","" Computational Logic"","" Algorithms"","" Differential Equations"","" Applied Mathematics"","" Problem Solving"","" Statistical Analysis"","" Dimensionality Reduction"","" Computer Programming Tools"","" Regression""}",4.6,Beginner,Specialization,3 - 6 Months,Basic Python Syntax|Introductory Statistics|NumPy Basics,beginner
Supply Chain Analytics,"{"" Data Analysis"","" Supply Chain Systems"","" Supply Chain and Logistics"","" Strategy and Operations"","" Leadership and Management"","" Inventory Management"","" Operations Management"","" Business Analysis"","" Planning"","" Operational Analysis"","" Market Analysis"","" Strategy"","" Business Intelligence"","" Process Analysis"","" Forecasting"","" Warehouse Management"","" Data Management"","" Probability & Statistics"","" Statistical Analysis"","" Customer Analysis"","" Decision Making"","" General Statistics"","" Statistical Visualization"","" Data Model"","" Regression"","" Statistical Tests"","" Supplier Relationship Management"","" Basic Descriptive Statistics"","" Data Science""}",4.6,Beginner,Specialization,3 - 6 Months,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
Project Planning,"{"" Leadership and Management"","" Planning""}",4.8,Beginner,Course,1 - 3 Months,Basic Organizational Principles|Communication Skills|Time Management,beginner
Graphic Design,"{"" Graphic Design"","" Design and Product"","" Visual Design"","" Communication"","" Computer Graphic Techniques"","" Computer Graphics"","" Creativity"","" Visualization (Computer Graphics)"","" Geometry"","" Interactive Design""}",4.7,Beginner,Specialization,3 - 6 Months,Visual Design Fundamentals|Color Theory Basics|Basic Creativity Skills,beginner
An Introduction to Consumer Neuroscience & Neuromarketing,"{"" Business Psychology"","" Market Research"","" Marketing"","" Behavioral Economics"","" Customer Analysis"","" Decision Making"","" People Analysis"","" Emotional Intelligence"","" Experiment"","" Research and Design""}",4.7,Beginner,Course,1 - 3 Months,Basic Arithmetic|Excel Fundamentals|Introductory Financial Concepts,beginner
Emotional Intelligence: Cultivating Immensely Human Interactions,"{"" Communication"","" Emotional Intelligence"","" Leadership and Management""}",4.7,Intermediate,Course,1 - 4 Weeks,Basic Organizational Principles|Communication Skills|Time Management,intermediate
Foundations of Software Testing and Validation,"{"" Software Testing""}",4.7,Beginner,Course,1 - 4 Weeks,Programming Fundamentals|Version Control|Algorithms,beginner
Microsoft Power BI Data Analyst,"{"" Data Analysis"","" Data Management"","" Data Mining"","" Data Model"","" Extract"","" Transform"","" Load"","" Microsoft Excel"","" Power BI"","" SQL""}",4.6,Beginner,Professional Certificate,3 - 6 Months,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
Python 3 Programming,"{"" Python Programming"","" Computer Programming"","" Problem Solving""}",4.7,Beginner,Specialization,3 - 6 Months,Basic Python Syntax|Object-Oriented Programming,beginner
Real-World Product Management,"{"" Leadership and Management"","" Product Strategy"","" Product Management"","" Strategy"","" Marketing"","" Strategy and Operations"","" Product Marketing"","" Business Development"","" Business Process Management"","" Market Analysis""}",4.5,Beginner,Specialization,3 - 6 Months,Digital Communication Basics|Consumer Behavior|Content Creation,beginner
Viral Marketing and How to Craft Contagious Content,"{"" Brand Management"","" Communication"","" Critical Thinking"","" Influencing"","" Marketing"","" Media Strategy & Planning"","" People Analysis"","" Social Media"","" Strategy"","" Market Analysis""}",4.8,Mixed,Course,1 - 4 Weeks,Digital Communication Basics|Consumer Behavior|Content Creation,beginner
Conduct UX Research and Test Early Concepts,"{"" Planning"","" User Experience"","" User Research""}",4.8,Beginner,Course,1 - 4 Weeks,Analytical Thinking|Problem Solving Basics|General Industry Knowledge,beginner
